{'name': 'SKOTTERUD', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-sprung-mattress-medium-firm-dark-grey__0395435_pe562576_s5.jpg?f=xxs', 'price': '3 495', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SÄBÖVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/saeboevik-divan-bed-firm-vissle-grey__0891216_pe782251_s5.jpg?f=xxs', 'price': '3 795', 'springs': 'Springs', 'firmness': 'Firm'}
{'name': 'SKÅRER', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-sprung-base-incl-mattress-pad-medium-firm-tuddal__0536146_pe649895_s5.jpg?f=xxs', 'price': '4 890', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-sprung-base-incl-mattress-pad-medium-firm-tustna__0536139_pe649892_s5.jpg?f=xxs', 'price': '6 290', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vagstranda-firm-tustna-dark-grey__0392276_pe575868_s5.jpg?f=xxs', 'price': '12 329', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'SNARUM', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-sprung-base-incl-mattress-pad-medium-firm-tuddal__0642087_pe700886_s5.jpg?f=xxs', 'price': '4 890', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SKÅRER', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skarer-wooden-base-sprung-mattress-medium-firm-dark-beige__0395534_pe562568_s5.jpg?f=xxs', 'price': '3 295', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-vagstranda-firm-medium-firm-tussoey-tibbleby-green__1259532_pe926716_s5.jpg?f=xxs', 'price': '15 695', 'springs': 'Pocket springs', 'firmness': 'Different firmness (2 mattresses)'}
{'name': 'STUVLAND', 'description': 'Wooden base sprung mattress, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-wooden-base-sprung-mattress-firm-natural__0558976_pe665205_s5.jpg?f=xxs', 'price': '6 795', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'STAVANGER', 'description': 'Sprung base incl. mattress pad, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stavanger-sprung-base-incl-mattress-pad-medium-firm-tustna__0536023_pe649769_s5.jpg?f=xxs', 'price': '9 234', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'GLAMBERGET', 'description': 'Bed frame with storage and mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/glamberget-bed-frame-with-storage-and-mattress-pine-vesteroey-medium-firm__1335907_pe947209_s5.jpg?f=xxs', 'price': '5 290', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'JÄRNUDDA', 'description': 'Sprung base incl. mattress pad, 90x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/jaernudda-sprung-base-incl-mattress-pad-light-grey__0098013_pe238917_s5.jpg?f=xxs', 'price': '1 495', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'SNARUM', 'description': 'Wooden base sprung mattress, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/snarum-wooden-base-sprung-mattress-medium-firm-beige__0641889_pe700777_s5.jpg?f=xxs', 'price': '3 295', 'springs': 'Springs', 'firmness': 'Medium firm'}
{'name': 'DUNVIK', 'description': 'Divan bed, 140x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/dunvik-divan-bed-vatnestroem-medium-firm-tistedal-gunnared-beige__0794066_pe765492_s5.jpg?f=xxs', 'price': '15 440', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'SKOTTERUD', 'description': 'Wooden base spr mattress, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/skotterud-wooden-base-spr-mattress-medium-firm-dark-grey__0965462_pe809465_s5.jpg?f=xxs', 'price': '5 090', 'springs': 'Pocket springs', 'firmness': 'Medium firm'}
{'name': 'STUVLAND', 'description': 'Sprung base incl. mattress pad, 120x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/stuvland-sprung-base-incl-mattress-pad-firm-tistedal-natural__0564024_pe665606_s5.jpg?f=xxs', 'price': '12 690', 'springs': 'Pocket springs', 'firmness': 'Firm'}
{'name': 'HEMNES', 'description': 'Day-bed w 3 drawers/2 mattresses, 80x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/hemnes-day-bed-w-3-drawers-2-mattresses-white-afjaell-medium-firm__1180460_pe896336_s5.jpg?f=xxs', 'price': '5 885', 'springs': 'Foam', 'firmness': 'Medium firm'}
{'name': 'LILLFJÄLLET', 'description': 'Divan bed with storage, 160x200 cm', 'image': 'https://www.ikea.com/se/en/images/products/lillfjaellet-divan-bed-with-storage-vagstranda-firm-tussoey-tibbleby-beige__1260062_pe926916_s5.jpg?f=xxs', 'price': '16 195', 'springs': 'Pocket springs', 'firmness': 'Firm'}
